case,site,Pop,sex,age,hdlngth,skullw,totlngth,taill,footlgth,earconch,eye,chest,belly
42,2,Vic,m,3.0,85.3,54.1,77.0,32.0,62.7,51.2,13.8,25.5,33.0
59,4,other,m,2.0,102.5,62.8,96.0,40.0,73.2,44.5,14.7,32.0,36.0
49,3,other,m,4.0,95.4,59.2,85.0,37.0,69.0,45.0,15.9,29.5,35.5
90,7,other,m,3.0,92.6,54.6,85.0,38.5,69.8,44.8,14.5,25.5,32.5
58,4,other,m,3.0,94.5,64.2,91.0,39.0,66.5,46.4,14.4,30.5,33.0
76,6,other,m,5.0,92.4,56.8,89.0,41.0,64.5,46.4,17.8,26.0,33.0
33,1,Vic,m,3.0,91.4,54.6,89.0,37.0,70.8,51.8,14.8,24.0,30.0
98,7,other,m,5.0,93.2,68.6,84.0,35.0,65.6,44.3,14.5,28.5,32.0
60,4,other,f,2.0,91.3,57.7,88.0,39.0,63.1,47.0,14.4,26.0,30.0
64,5,other,f,3.0,96.9,56.5,89.5,38.5,63.0,45.1,17.1,25.5,33.0
102,7,other,f,6.0,92.4,55.0,89.0,38.0,63.5,45.4,13.0,25.0,30.0
38,2,Vic,m,7.0,92.4,56.0,80.5,35.5,68.4,49.5,15.9,27.0,30.0
30,1,Vic,f,2.0,92.1,54.4,84.0,33.5,70.6,50.8,14.5,24.5,33.0
2,1,Vic,f,6.0,92.5,57.6,91.5,36.5,72.5,51.2,16.0,28.5,33.0
53,3,other,f,3.0,93.1,58.1,91.0,38.0,67.4,46.0,16.5,26.0,33.5
22,1,Vic,m,3.0,96.3,58.5,91.0,39.5,73.5,52.1,16.2,28.0,36.0
3,1,Vic,f,6.0,94.0,60.0,95.5,39.0,75.4,51.9,15.5,30.0,34.0
24,1,Vic,m,2.0,94.4,54.9,84.0,34.0,75.0,53.5,16.2,27.0,32.0
88,7,other,f,2.0,89.6,58.0,87.5,38.0,66.7,43.5,16.0,25.5,31.5
95,7,other,m,4.0,91.6,56.6,88.5,37.5,64.5,45.4,14.9,27.0,31.0
75,6,other,m,6.0,93.8,58.1,89.0,38.0,66.2,45.6,16.9,26.0,33.5
87,7,other,m,2.0,98.5,60.7,93.0,41.5,71.7,46.8,15.0,26.0,36.0
83,6,other,f,3.0,90.0,53.8,81.5,36.0,62.0,43.3,14.0,25.0,29.0
21,1,Vic,f,3.0,95.9,58.1,96.5,39.5,77.9,52.9,14.2,30.0,40.0
61,5,other,m,7.0,95.7,59.0,86.0,38.0,63.1,44.9,15.0,26.5,31.0
72,5,other,m,1.0,85.9,52.4,80.5,35.0,62.0,42.4,14.1,25.5,30.0
15,1,Vic,m,5.0,92.9,57.6,85.5,34.0,69.7,51.8,15.7,28.0,35.0
93,7,other,m,3.0,89.2,54.0,82.0,38.0,63.8,44.9,12.8,24.0,31.0
52,3,other,m,6.0,97.6,61.0,93.5,40.0,67.9,44.3,15.8,28.5,32.5
103,7,other,m,4.0,91.5,55.2,82.5,36.5,62.9,45.9,15.4,25.0,29.0
